Mach,Deployment Level,CD
3.49,0,0.557822855
3.5,0,0.557235915
3.51,0,0.55665064
3.52,0,0.556067011
3.53,0,0.555485051
3.54,0,0.554904748
3.55,0,0.554326092
3.56,0,0.553749092
3.57,0,0.553173741
3.58,0,0.552600031
3.59,0,0.552027965
3.6,0,0.551457544
3.61,0,0.550888766
3.62,0,0.550321613
3.63,0,0.549756101
3.64,0,0.549192211
3.65,0,0.548629947
3.66,0,0.548069307
3.67,0,0.547510284
3.68,0,0.54695288
3.69,0,0.546397091
3.7,0,0.545842906
3.71,0,0.545290322
3.72,0,0.544739346
3.73,0,0.544189946
3.74,0,0.543642159
3.75,0,0.543095962
3.76,0,0.542551334
3.77,0,0.542008294
3.78,0,0.541466825
3.79,0,0.540926935
3.8,0,0.5403886
3.81,0,0.539851832
3.82,0,0.539316621
3.83,0,0.538782965
3.84,0,0.538250851
3.85,0,0.537720286
3.86,0,0.537191257
3.87,0,0.536663748
3.88,0,0.536137771
3.89,0,0.535613322
3.9,0,0.53509039
3.91,0,0.534568964
3.92,0,0.534049048
3.93,0,0.53353064
3.94,0,0.533013715
3.95,0,0.532498284
3.96,0,0.53198433
3.97,0,0.531471865
3.98,0,0.530960868
3.99,0,0.530451344
4,0,0.529943275
4.01,0,0.529439967
4.02,0,0.528938104
4.03,0,0.528437673
4.04,0,0.527938661
4.05,0,0.527441087
4.06,0,0.526944919
4.07,0,0.526450156
4.08,0,0.525956799
4.09,0,0.525464845
4.1,0,0.524974277
4.11,0,0.524485095
4.12,0,0.52399729
4.13,0,0.523510854
4.14,0,0.523025796
4.15,0,0.522542088
4.16,0,0.522059738
4.17,0,0.521578735
4.18,0,0.521099074
4.19,0,0.520620741
4.2,0,0.520143739
4.21,0,0.519668055
4.22,0,0.519193692
4.23,0,0.518720627
4.24,0,0.518248868
4.25,0,0.517778406
4.26,0,0.517309234
4.27,0,0.516841337
4.28,0,0.516374721
4.29,0,0.515909372
4.3,0,0.515445277
4.31,0,0.51498243
4.32,0,0.514520844
4.33,0,0.514060492
4.34,0,0.513601375
4.35,0,0.513143495
4.36,0,0.51268682
4.37,0,0.512231352
4.38,0,0.511777097
4.39,0,0.511324046
4.4,0,0.510872186
4.41,0,0.510421507
4.42,0,0.509972007
4.43,0,0.50952368
4.44,0,0.50907651
4.45,0,0.508630501
4.46,0,0.508185629
4.47,0,0.507741913
4.48,0,0.50729933
4.49,0,0.506857872
4.5,0,0.506417539
4.51,0,0.505978307
4.52,0,0.50554019
4.53,0,0.505103168
4.54,0,0.504667243
4.55,0,0.504232398
4.56,0,0.50379862
4.57,0,0.503365934
4.58,0,0.502934289
4.59,0,0.502503713
4.6,0,0.502074177
4.61,0,0.501645684
4.62,0,0.501218226
4.63,0,0.500791786
4.64,0,0.500366372
4.65,0,0.49994197
4.66,0,0.499518566
4.67,0,0.499096154
4.68,0,0.498674737
4.69,0,0.498254308
4.7,0,0.497834839
4.71,0,0.497416353
4.72,0,0.496998813
4.73,0,0.496582222
4.74,0,0.496166586
4.75,0,0.495751883
4.76,0,0.495338096
4.77,0,0.494925241
4.78,0,0.494513312
4.79,0,0.494102281
4.8,0,0.493692147
4.81,0,0.493282897
4.82,0,0.492874541
4.83,0,0.492467066
4.84,0,0.492060449
4.85,0,0.4916547
4.86,0,0.491249806
4.87,0,0.49084575
4.88,0,0.490442551
4.89,0,0.490040165
4.9,0,0.489638606
4.91,0,0.489237874
4.92,0,0.488837948
4.93,0,0.488438823
4.94,0,0.488040488
4.95,0,0.487642948
4.96,0,0.48724618
4.97,0,0.486850178
4.98,0,0.48645495
4.99,0,0.486060473
5,0,0.485666755
5.01,0,0.485363205
5.02,0,0.484995051
5.03,0,0.484628069
5.04,0,0.484262235
5.05,0,0.483897567
5.06,0,0.483534017
5.07,0,0.483171616
5.08,0,0.482810317
5.09,0,0.482450124
5.1,0,0.482091026
5.11,0,0.481733011
5.12,0,0.48137606
5.13,0,0.481020184
5.14,0,0.48066536
5.15,0,0.480311565
5.16,0,0.479958804
5.17,0,0.479607067
5.18,0,0.479256328
5.19,0,0.478906591
5.2,0,0.478557843
5.21,0,0.478210077
5.22,0,0.477863271
5.23,0,0.477517413
5.24,0,0.477172508
5.25,0,0.47682853
5.26,0,0.476485492
5.27,0,0.476143356
5.28,0,0.475802126
5.29,0,0.475461788
5.3,0,0.475122338
5.31,0,0.474783757
5.32,0,0.474446048
5.33,0,0.474109184
5.34,0,0.473773153
5.35,0,0.473437973
5.36,0,0.473103601
5.37,0,0.472770048
5.38,0,0.472437297
5.39,0,0.472105337
5.4,0,0.471774167
5.41,0,0.471443757
5.42,0,0.47111411
5.43,0,0.470785214
5.44,0,0.470457072
5.45,0,0.470129651
5.46,0,0.469802963
5.47,0,0.469476988
5.48,0,0.469151708
5.49,0,0.468827132
5.5,0,0.468503229
5.51,0,0.468180013
5.52,0,0.467857454
5.53,0,0.467535551
5.54,0,0.467214294
5.55,0,0.466893663
5.56,0,0.466573675
5.57,0,0.466254281
5.58,0,0.465935519
5.59,0,0.465617335
5.6,0,0.465299747
5.61,0,0.464982747
5.62,0,0.4646663
5.63,0,0.464350416
5.64,0,0.464035087
5.65,0,0.463720302
5.66,0,0.463406045
5.67,0,0.463092299
5.68,0,0.462779087
5.69,0,0.462466371
5.7,0,0.462154144
5.71,0,0.461842409
5.72,0,0.461531144
5.73,0,0.461220339
5.74,0,0.460910002
5.75,0,0.460600114
5.76,0,0.460290666
5.77,0,0.45998164
5.78,0,0.459673046
5.79,0,0.459364858
5.8,0,0.45905707
5.81,0,0.458749685
5.82,0,0.45844268
5.83,0,0.458136038
5.84,0,0.457829781
5.85,0,0.457523878
5.86,0,0.457218325
5.87,0,0.456913098
5.88,0,0.456608222
5.89,0,0.456303655
5.9,0,0.45599941
5.91,0,0.45569547
5.92,0,0.455391811
5.93,0,0.455088461
5.94,0,0.454785367
5.95,0,0.454482563
5.96,0,0.454179999
5.97,0,0.453877706
5.98,0,0.453575655
5.99,0,0.45327382
6,0,0.45297223
6.01,0,0.452689037
6.02,0,0.452427063
6.03,0,0.452165753
6.04,0,0.451905104
6.05,0,0.451645125
6.06,0,0.451385782
6.07,0,0.4511271
6.08,0,0.450869059
6.09,0,0.450611677
6.1,0,0.45035493
6.11,0,0.450098835
6.12,0,0.449843368
6.13,0,0.44958853
6.14,0,0.449334334
6.15,0,0.449080769
6.16,0,0.448827823
6.17,0,0.448575494
6.18,0,0.448323807
6.19,0,0.44807272
6.2,0,0.447822253
6.21,0,0.4475724
6.22,0,0.44732315
6.23,0,0.447074509
6.24,0,0.446826478
6.25,0,0.446579051
6.26,0,0.446332216
6.27,0,0.446085972
6.28,0,0.445840334
6.29,0,0.445595272
6.3,0,0.445350813
6.31,0,0.445106934
6.32,0,0.444863632
6.33,0,0.444620924
6.34,0,0.444378781
6.35,0,0.444137228
6.36,0,0.443896232
6.37,0,0.443655823
6.38,0,0.443415965
6.39,0,0.44317668
6.4,0,0.442937963
6.41,0,0.442699802
6.42,0,0.442462195
6.43,0,0.442225148
6.44,0,0.441988662
6.45,0,0.441752713
6.46,0,0.441517318
6.47,0,0.441282475
6.48,0,0.441048162
6.49,0,0.440814408
6.5,0,0.440581178
6.51,0,0.440348493
6.52,0,0.440116339
6.53,0,0.439884723
6.54,0,0.439653635
6.55,0,0.439423072
6.56,0,0.439193031
6.57,0,0.438963521
6.58,0,0.438734529
6.59,0,0.438506053
6.6,0,0.438278091
6.61,0,0.438050651
6.62,0,0.437823721
6.63,0,0.437597299
6.64,0,0.437371383
6.65,0,0.437145969
6.66,0,0.436921069
6.67,0,0.436696665
6.68,0,0.436472752
6.69,0,0.436249352
6.7,0,0.436026438
6.71,0,0.435804015
6.72,0,0.435582091
6.73,0,0.435360645
6.74,0,0.435139694
6.75,0,0.434919217
6.76,0,0.434699232
6.77,0,0.434479727
6.78,0,0.4342607
6.79,0,0.434042148
6.8,0,0.433824071
6.81,0,0.433606466
6.82,0,0.433389331
6.83,0,0.433172665
6.84,0,0.432956473
6.85,0,0.432740739
6.86,0,0.432525466
6.87,0,0.432310655
6.88,0,0.432096304
6.89,0,0.431882409
6.9,0,0.43166897
6.91,0,0.431455985
6.92,0,0.431243452
6.93,0,0.431031369
6.94,0,0.430819725
6.95,0,0.430608538
6.96,0,0.430397785
6.97,0,0.430187485
6.98,0,0.429977618
6.99,0,0.42976819
7,0,0.429568103
7.01,0,0.429386949
7.02,0,0.429206369
7.03,0,0.429026348
7.04,0,0.428846905
7.05,0,0.428668017
7.06,0,0.428489692
7.07,0,0.428311929
7.08,0,0.428134723
7.09,0,0.427958063
7.1,0,0.427781967
7.11,0,0.427606412
7.12,0,0.427431407
7.13,0,0.427256938
7.14,0,0.427083023
7.15,0,0.426909631
7.16,0,0.426736799
7.17,0,0.426564485
7.18,0,0.426392708
7.19,0,0.426221472
7.2,0,0.426050749
7.21,0,0.425880565
7.22,0,0.425705988
7.23,0,0.425530964
7.24,0,0.425356504
7.25,0,0.425182595
7.26,0,0.425009244
7.27,0,0.42483644
7.28,0,0.42466419
7.29,0,0.424492481
7.3,0,0.424321323
7.31,0,0.424150702
7.32,0,0.423980618
7.33,0,0.423811077
7.34,0,0.42364208
7.35,0,0.423473601
7.36,0,0.423305659
7.37,0,0.423138255
7.38,0,0.422971363
7.39,0,0.422804994
7.4,0,0.422639155
7.41,0,0.422473835
7.42,0,0.422309029
7.43,0,0.422144738
7.44,0,0.421980959
7.45,0,0.421817692
7.46,0,0.42165493
7.47,0,0.421492678
7.48,0,0.421330928
7.49,0,0.421169681
7.5,0,0.421008926
7.51,0,0.420848679
7.52,0,0.420688921
7.53,0,0.420529666
7.54,0,0.420370886
7.55,0,0.420212607
7.56,0,0.420054818
7.57,0,0.419897496
7.58,0,0.419740672
7.59,0,0.419584321
7.6,0,0.419428454
7.61,0,0.419273069
7.62,0,0.41911815
7.63,0,0.418963702
7.64,0,0.418809728
7.65,0,0.418656227
7.66,0,0.41850319
7.67,0,0.418350611
7.68,0,0.418198503
7.69,0,0.418046854
7.7,0,0.417895667
7.71,0,0.417744936
7.72,0,0.417594657
7.73,0,0.417444827
7.74,0,0.417295457
7.75,0,0.417146533
7.76,0,0.416998057
7.77,0,0.416850023
7.78,0,0.416702442
7.79,0,0.416555291
7.8,0,0.416408591
7.81,0,0.416262327
7.82,0,0.4161165
7.83,0,0.415971107
7.84,0,0.415826147
7.85,0,0.415681618
7.86,0,0.415537518
7.87,0,0.415393847
7.88,0,0.415250603
7.89,0,0.415107774
7.9,0,0.414965378
7.91,0,0.414823405
7.92,0,0.414681841
7.93,0,0.414540697
7.94,0,0.41439997
7.95,0,0.41425966
7.96,0,0.414119766
7.97,0,0.413980273
7.98,0,0.413841201
7.99,0,0.413702521
8,0,0.413564259
8.01,0,0.413426394
8.02,0,0.413288936
8.03,0,0.413151873
8.04,0,0.413015212
8.05,0,0.412878952
8.06,0,0.412743083
8.07,0,0.412607614
8.08,0,0.412472531
8.09,0,0.412337845
8.1,0,0.412203543
8.11,0,0.412069635
8.12,0,0.411936118
8.13,0,0.411802972
8.14,0,0.411670225
8.15,0,0.411537847
8.16,0,0.411405855
8.17,0,0.411274238
8.18,0,0.411143004
8.19,0,0.411012146
8.2,0,0.410881666
8.21,0,0.410751546
8.22,0,0.410621806
8.23,0,0.410492434
8.24,0,0.410363437
8.25,0,0.410234805
8.26,0,0.410106527
8.27,0,0.409978631
8.28,0,0.409851086
8.29,0,0.409723901
8.3,0,0.409597083
8.31,0,0.409470625
8.32,0,0.409344521
8.33,0,0.409218762
8.34,0,0.409093367
8.35,0,0.408968335
8.36,0,0.408843644
8.37,0,0.408719302
8.38,0,0.40859531
8.39,0,0.408471674
8.4,0,0.408348376
8.41,0,0.408225422
8.42,0,0.408102811
8.43,0,0.407980545
8.44,0,0.40785862
8.45,0,0.407737034
8.46,0,0.407615789
8.47,0,0.407494882
8.48,0,0.407374301
8.49,0,0.407254067
8.5,0,0.407134157
8.51,0,0.407014591
8.52,0,0.406895337
8.53,0,0.406776425
8.54,0,0.406657833
8.55,0,0.40653958
8.56,0,0.406421644
8.57,0,0.406304037
8.58,0,0.406186745
8.59,0,0.406069777
8.6,0,0.405953133
8.61,0,0.405836812
8.62,0,0.405720802
8.63,0,0.405605123
8.64,0,0.405489743
8.65,0,0.405374682
8.66,0,0.405259937
8.67,0,0.405145509
8.68,0,0.405031385
8.69,0,0.404917567
8.7,0,0.404804071
8.71,0,0.404690867
8.72,0,0.404577985
8.73,0,0.404465392
8.74,0,0.404353119
8.75,0,0.404241143
8.76,0,0.404129463
8.77,0,0.40401809
8.78,0,0.403907013
8.79,0,0.403796239
8.8,0,0.403685758
8.81,0,0.403575579
8.82,0,0.403465692
8.83,0,0.403356104
8.84,0,0.403246805
8.85,0,0.403137794
8.86,0,0.403029081
8.87,0,0.402920643
8.88,0,0.402812511
8.89,0,0.402704653
8.9,0,0.402597098
8.91,0,0.402489816
8.92,0,0.402382826
8.93,0,0.402276115
8.94,0,0.402169685
8.95,0,0.402063533
8.96,0,0.401957669
8.97,0,0.401852082
8.98,0,0.401746781
8.99,0,0.401641744
9,0,0.401536993
9.01,0,0.401432503
9.02,0,0.401328306
9.03,0,0.401224372
9.04,0,0.401120707
9.05,0,0.401017322
9.06,0,0.400914205
9.07,0,0.400811358
9.08,0,0.400708776
9.09,0,0.400606461
9.1,0,0.400504411
9.11,0,0.400402637
9.12,0,0.400301114
9.13,0,0.400199865
9.14,0,0.400098868
9.15,0,0.399998143
9.16,0,0.399897677
9.17,0,0.39979746
9.18,0,0.399697512
9.19,0,0.399597822
9.2,0,0.399498389
9.21,0,0.399399212
9.22,0,0.39930029
9.23,0,0.399201623
9.24,0,0.399103198
9.25,0,0.399005037
9.26,0,0.398907128
9.27,0,0.39880947
9.28,0,0.398712062
9.29,0,0.398614894
9.3,0,0.398517985
9.31,0,0.398421314
9.32,0,0.398324891
9.33,0,0.398228723
9.34,0,0.398132791
9.35,0,0.398037104
9.36,0,0.397941651
9.37,0,0.397846452
9.38,0,0.397751496
9.39,0,0.39765677
9.4,0,0.397562287
9.41,0,0.397468053
9.42,0,0.39737405
9.43,0,0.397280275
9.44,0,0.397186748
9.45,0,0.397093448
9.46,0,0.397000386
9.47,0,0.396907559
9.48,0,0.396814957
9.49,0,0.396722599
9.5,0,0.396630466
9.51,0,0.396538565
9.52,0,0.396446887
9.53,0,0.39635545
9.54,0,0.396264234
9.55,0,0.396173248
9.56,0,0.396082481
9.57,0,0.395991944
9.58,0,0.395901634
9.59,0,0.395811542
9.6,0,0.395721686
9.61,0,0.395632036
9.62,0,0.395542621
9.63,0,0.395453421
9.64,0,0.395364445
9.65,0,0.395275692
9.66,0,0.395187151
9.67,0,0.395098823
9.68,0,0.395010716
9.69,0,0.394922838
9.7,0,0.394835161
9.71,0,0.394747704
9.72,0,0.394660464
9.73,0,0.394573433
9.74,0,0.394486618
9.75,0,0.394400009
9.76,0,0.394313618
9.77,0,0.394227441
9.78,0,0.39414147
9.79,0,0.394055711
9.8,0,0.393970146
9.81,0,0.393884804
9.82,0,0.393799665
9.83,0,0.393714736
9.84,0,0.393630009
9.85,0,0.39354549
9.86,0,0.393461172
9.87,0,0.393377054
9.88,0,0.393293153
9.89,0,0.393209439
9.9,0,0.393125934
9.91,0,0.393042625
9.92,0,0.392959521
9.93,0,0.392876622
9.94,0,0.392793919
9.95,0,0.39271141
9.96,0,0.392629093
9.97,0,0.39254698
9.98,0,0.39246507
9.99,0,0.39238335
10,0,0.392301822
10.01,0,0.392270017
10.02,0,0.392235459
10.03,0,0.392200988
10.04,0,0.392166613
10.05,0,0.392132324
10.06,0,0.39209813
10.07,0,0.392064022
10.08,0,0.392029999
10.09,0,0.391996062
10.1,0,0.391962218
10.11,0,0.391928469
10.12,0,0.391894794
10.13,0,0.391861213
10.14,0,0.391827715
10.15,0,0.391794311
10.16,0,0.39176098
10.17,0,0.391727742
10.18,0,0.391694596
10.19,0,0.391661522
10.2,0,0.391628551
10.21,0,0.391595651
10.22,0,0.391562833
10.23,0,0.391530107
10.24,0,0.391497461
10.25,0,0.391464907
10.26,0,0.391432422
10.27,0,0.391400028
10.28,0,0.391367715
10.29,0,0.391335481
10.3,0,0.391303336
10.31,0,0.391271261
10.32,0,0.391239276
10.33,0,0.391207369
10.34,0,0.391175551
10.35,0,0.391143801
10.36,0,0.391112139
10.37,0,0.391080556
10.38,0,0.391049049
10.39,0,0.391017622
10.4,0,0.390986281
10.41,0,0.390955006
10.42,0,0.390923819
10.43,0,0.390892709
10.44,0,0.390861674
10.45,0,0.390830716
10.46,0,0.390799844
10.47,0,0.390769037
10.48,0,0.390738316
10.49,0,0.390707671
10.5,0,0.3906771
10.51,0,0.390646603
10.52,0,0.390616182
10.53,0,0.390585835
10.54,0,0.390555572
10.55,0,0.390525373
10.56,0,0.390495258
10.57,0,0.390465207
10.58,0,0.390435239
10.59,0,0.390405343
10.6,0,0.390375521
10.61,0,0.390345771
10.62,0,0.390316094
10.63,0,0.390286499
10.64,0,0.390256966
10.65,0,0.390227505
10.66,0,0.390198115
10.67,0,0.390168807
10.68,0,0.390139561
10.69,0,0.390110385
10.7,0,0.39008129
10.71,0,0.390052266
10.72,0,0.390023302
10.73,0,0.389994418
10.74,0,0.389965595
10.75,0,0.389936851
10.76,0,0.389908167
10.77,0,0.389879562
10.78,0,0.389851027
10.79,0,0.389822551
10.8,0,0.389794153
10.81,0,0.389765824
10.82,0,0.389737554
10.83,0,0.389709361
10.84,0,0.389681238
10.85,0,0.389653171
10.86,0,0.389625173
10.87,0,0.389597252
