Mach,CD Power-On
5.49,0.148112575
5.5,0.147899296
5.51,0.147686607
5.52,0.147474483
5.53,0.147262929
5.54,0.147051941
5.55,0.146841512
5.56,0.146631634
5.57,0.146422297
5.58,0.1462135
5.59,0.146005245
5.6,0.145797512
5.61,0.145590304
5.62,0.145383607
5.63,0.145177426
5.64,0.144971749
5.65,0.144766566
5.66,0.144561871
5.67,0.144357664
5.68,0.144153944
5.69,0.143950694
5.7,0.143747911
5.71,0.143545601
5.72,0.143343739
5.73,0.14314234
5.74,0.142941383
5.75,0.142740857
5.76,0.142540777
5.77,0.142341133
5.78,0.142141902
5.79,0.14194309
5.8,0.141744703
5.81,0.141546717
5.82,0.141349127
5.83,0.141151939
5.84,0.140955148
5.85,0.140758741
5.86,0.140562716
5.87,0.140367056
5.88,0.140171778
5.89,0.139976857
5.9,0.1397823
5.91,0.139588102
5.92,0.139394239
5.93,0.139200737
5.94,0.139007552
5.95,0.13881471
5.96,0.138622199
5.97,0.138430012
5.98,0.138238136
5.99,0.138046587
6,0.137855322
6.01,0.137672749
6.02,0.137500149
6.03,0.13732805
6.04,0.137156456
6.05,0.136985355
6.06,0.136814753
6.07,0.13664467
6.08,0.136475066
6.09,0.136305938
6.1,0.136137315
6.11,0.135969176
6.12,0.135801519
6.13,0.135634344
6.14,0.135467635
6.15,0.135301418
6.16,0.135135667
6.17,0.134970398
6.18,0.134805595
6.19,0.134641256
6.2,0.134477382
6.21,0.134313969
6.22,0.134151018
6.23,0.133988533
6.24,0.133826499
6.25,0.133664919
6.26,0.133503786
6.27,0.133343115
6.28,0.133182885
6.29,0.133023108
6.3,0.132863765
6.31,0.132704864
6.32,0.132546395
6.33,0.132388373
6.34,0.132230793
6.35,0.132073636
6.36,0.131916908
6.37,0.131760608
6.38,0.131604747
6.39,0.131449302
6.4,0.131294279
6.41,0.131139683
6.42,0.130985494
6.43,0.130831728
6.44,0.130678381
6.45,0.130525452
6.46,0.130372928
6.47,0.130220811
6.48,0.130069107
6.49,0.129917796
6.5,0.129766904
6.51,0.12961641
6.52,0.129466318
6.53,0.129316611
6.54,0.129167311
6.55,0.129018405
6.56,0.128869894
6.57,0.128721761
6.58,0.128574033
6.59,0.128426679
6.6,0.128279719
6.61,0.128133141
6.62,0.127986942
6.63,0.127841126
6.64,0.127695684
6.65,0.127550623
6.66,0.127405933
6.67,0.127261622
6.68,0.127117681
6.69,0.126974103
6.7,0.126830907
6.71,0.126688071
6.72,0.1265456
6.73,0.126403502
6.74,0.126261754
6.75,0.126120367
6.76,0.125979338
6.77,0.125838668
6.78,0.125698353
6.79,0.125558394
6.8,0.125418779
6.81,0.125279529
6.82,0.125140618
6.83,0.12500205
6.84,0.124863841
6.85,0.124725962
6.86,0.124588439
6.87,0.124451253
6.88,0.124314401
6.89,0.124177897
6.9,0.124041722
6.91,0.123905881
6.92,0.123770381
6.93,0.123635212
6.94,0.12350038
6.95,0.123365878
6.96,0.123231692
6.97,0.123097843
6.98,0.122964316
6.99,0.122831105
7,0.122702324
7.01,0.122582383
7.02,0.122462818
7.03,0.122343643
7.04,0.122224842
7.05,0.122106421
7.06,0.121988377
7.07,0.12187071
7.08,0.121753411
7.09,0.121636486
7.1,0.121519926
7.11,0.121403747
7.12,0.121287929
7.13,0.121172471
7.14,0.121057382
7.15,0.12094265
7.16,0.120828273
7.17,0.120714271
7.18,0.120600614
7.19,0.120487318
7.2,0.120374373
7.21,0.120261778
7.22,0.120149532
7.23,0.120037643
7.24,0.119926101
7.25,0.119814903
7.26,0.119704049
7.27,0.119593536
7.28,0.119483367
7.29,0.119373538
7.3,0.119264057
7.31,0.119154904
7.32,0.119046088
7.33,0.118937608
7.34,0.118829453
7.35,0.118721641
7.36,0.118614159
7.37,0.118506991
7.38,0.118400162
7.39,0.118293673
7.4,0.118187489
7.41,0.118081635
7.42,0.117976105
7.43,0.117870889
7.44,0.117765996
7.45,0.117661417
7.46,0.117557157
7.47,0.117453209
7.48,0.117349579
7.49,0.117246269
7.5,0.117143254
7.51,0.117033861
7.52,0.116924796
7.53,0.116816074
7.54,0.116707691
7.55,0.116599638
7.56,0.11649193
7.57,0.116384553
7.58,0.116277507
7.59,0.116170798
7.6,0.11606441
7.61,0.115958357
7.62,0.115852629
7.63,0.115747226
7.64,0.115642146
7.65,0.115537398
7.66,0.115432962
