Mach,CD Power-Off
4.23,0.199000135
4.24,0.198612876
4.25,0.198226913
4.26,0.197842281
4.27,0.197458949
4.28,0.197076912
4.29,0.196696155
4.3,0.19631668
4.31,0.195938482
4.32,0.195561532
4.33,0.195185841
4.34,0.194811409
4.35,0.19443821
4.36,0.194066238
4.37,0.193695489
4.38,0.193325964
4.39,0.192957649
4.4,0.192590529
4.41,0.192224596
4.42,0.191859852
4.43,0.191496308
4.44,0.191133914
4.45,0.190772684
4.46,0.190412614
4.47,0.190053707
4.48,0.189695928
4.49,0.189339291
4.5,0.188983769
4.51,0.188629373
4.52,0.188276097
4.53,0.187923928
4.54,0.187572843
4.55,0.187222866
4.56,0.18687395
4.57,0.186526131
4.58,0.186179372
4.59,0.185833678
4.6,0.185489044
4.61,0.185145454
4.62,0.184802908
4.63,0.184461389
4.64,0.184120906
4.65,0.183781446
4.66,0.183442991
4.67,0.183105547
4.68,0.182769117
4.69,0.182433659
4.7,0.182099204
4.71,0.181765723
4.72,0.181433211
4.73,0.181101665
4.74,0.180771092
4.75,0.180441476
4.76,0.180112782
4.77,0.179785043
4.78,0.179458243
4.79,0.179132354
4.8,0.178807399
4.81,0.178483352
4.82,0.178160204
4.83,0.177837972
4.84,0.177516627
4.85,0.177196166
4.86,0.176876594
4.87,0.176557894
4.88,0.176240061
4.89,0.175923094
4.9,0.17560698
4.91,0.175291711
4.92,0.174977298
4.93,0.174663718
4.94,0.174350954
4.95,0.174039042
4.96,0.173727926
4.97,0.173417641
4.98,0.173108142
4.99,0.172799463
5,0.172491559
5.01,0.172243783
5.02,0.171953441
5.03,0.171664176
5.04,0.171375959
5.05,0.171088802
5.06,0.1708027
5.07,0.17051762
5.08,0.170233584
5.09,0.169950565
5.1,0.169668542
5.11,0.169387547
5.12,0.169107542
5.13,0.16882851
5.14,0.168550474
5.15,0.168273407
5.16,0.167997301
5.17,0.167722159
5.18,0.167447959
5.19,0.167174705
5.2,0.166902388
5.21,0.166630988
5.22,0.166360519
5.23,0.166090954
5.24,0.165822286
5.25,0.165554517
5.26,0.16528763
5.27,0.165021623
5.28,0.164756496
5.29,0.164492232
5.3,0.164228815
5.31,0.163966269
5.32,0.163704558
5.33,0.163443682
5.34,0.163183629
5.35,0.16292441
5.36,0.162665986
5.37,0.162408389
5.38,0.162151573
5.39,0.161895567
5.4,0.161640345
5.41,0.161371718
5.42,0.161104102
5.43,0.160837359
5.44,0.160571515
5.45,0.160306542
5.46,0.160042441
5.47,0.159779194
5.48,0.159516806
5.49,0.159255246
5.5,0.158994527
5.51,0.158734643
5.52,0.158475568
5.53,0.158217306
5.54,0.15795985
5.55,0.157703192
5.56,0.157447322
5.57,0.15719223
5.58,0.156937911
5.59,0.156684369
5.6,0.156431579
5.61,0.156179543
5.62,0.155928247
5.63,0.155677695
5.64,0.155427871
5.65,0.155178767
5.66,0.154930372
5.67,0.154682686
5.68,0.154435707
5.69,0.154189417
5.7,0.15394381
5.71,0.153698892
5.72,0.153454636
5.73,0.153211056
5.74,0.152968129
5.75,0.152725844
5.76,0.152484214
5.77,0.152243226
5.78,0.152002858
5.79,0.151763114
5.8,0.151523998
5.81,0.151285486
5.82,0.151047571
5.83,0.150810257
5.84,0.150573538
5.85,0.150337402
5.86,0.150101843
5.87,0.149866844
5.88,0.14963242
5.89,0.149398546
5.9,0.149165226
5.91,0.148932457
5.92,0.14870021
5.93,0.148468514
5.94,0.148237319
5.95,0.148006654
5.96,0.147776503
5.97,0.14754686
5.98,0.147317709
5.99,0.147089067
6,0.146860887
6.01,0.146641579
6.02,0.146432421
6.03,0.146223941
6.04,0.146016141
6.05,0.145809008
6.06,0.145602548
6.07,0.145396779
6.08,0.145191659
6.09,0.144987186
6.1,0.144783387
6.11,0.14458024
6.12,0.144377742
6.13,0.144175891
6.14,0.143974673
6.15,0.14377411
6.16,0.143574176
6.17,0.143374886
6.18,0.143176224
6.19,0.142978185
6.2,0.142780771
6.21,0.142583976
6.22,0.1423878
6.23,0.142192246
6.24,0.141997299
6.25,0.141802961
6.26,0.141609222
6.27,0.141416099
6.28,0.141223569
6.29,0.141031642
6.3,0.1408403
6.31,0.140649548
6.32,0.140459376
6.33,0.140269799
6.34,0.140080811
6.35,0.139892391
6.36,0.139704545
6.37,0.139517271
6.38,0.139330579
6.39,0.139144445
6.4,0.138958874
6.41,0.138773872
6.42,0.138589416
6.43,0.138405522
6.44,0.138222185
6.45,0.138039404
6.46,0.137857165
6.47,0.137675468
6.48,0.137494318
6.49,0.137313696
6.5,0.137133627
6.51,0.136954089
6.52,0.136775084
6.53,0.136596596
6.54,0.136418645
6.55,0.136241218
6.56,0.136064314
6.57,0.135887918
6.58,0.135712053
6.59,0.135536689
6.6,0.135361845
6.61,0.135187509
6.62,0.135013676
6.63,0.13484035
6.64,0.134667521
6.65,0.134495197
6.66,0.134323364
6.67,0.134152032
6.68,0.13398119
6.69,0.133810832
6.7,0.133640974
6.71,0.133471594
6.72,0.133302698
6.73,0.133134291
6.74,0.132966351
6.75,0.132798888
6.76,0.132631898
6.77,0.132465382
6.78,0.132299334
6.79,0.132133756
6.8,0.131968634
6.81,0.13180399
6.82,0.131639797
6.83,0.131476056
6.84,0.131312784
6.85,0.131149953
6.86,0.130987587
6.87,0.130825666
6.88,0.130664186
6.89,0.130503161
6.9,0.130342573
6.91,0.130182425
6.92,0.130022723
